PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Age_imputed,CabinDeck,TicketCount_x,TicketCount_y,TicketCount,Fare_outlier,Fare_capped,AgeGroup,Sex_numeric
1,0,3,male,22.0,1,0,7.25,S,2,False,22.0,Unknown,1,1,1,False,7.25,YoungAdult,0
2,1,1,female,38.0,1,0,71.2833,C,2,False,38.0,C,1,1,1,False,71.2833,Adult,1
3,1,3,female,26.0,0,0,7.925,S,1,True,26.0,Unknown,1,1,1,False,7.925,YoungAdult,1
4,1,1,female,35.0,1,0,53.1,S,2,False,35.0,C,2,2,2,False,53.1,Adult,1
5,0,3,male,35.0,0,0,8.05,S,1,True,35.0,Unknown,1,1,1,False,8.05,Adult,0
6,0,3,male,,0,0,8.4583,Q,1,True,25.0,Unknown,1,1,1,False,8.4583,YoungAdult,0
7,0,1,male,54.0,0,0,51.8625,S,1,True,54.0,E,1,1,1,False,51.8625,Adult,0
8,0,3,male,2.0,3,1,21.075,S,5,False,2.0,Unknown,4,4,4,False,21.075,Child,0
9,1,3,female,27.0,0,2,11.1333,S,3,False,27.0,Unknown,3,3,3,False,11.1333,YoungAdult,1
10,1,2,female,14.0,1,0,30.0708,C,2,False,14.0,Unknown,2,2,2,False,30.0708,Teen,1
11,1,3,female,4.0,1,1,16.7,S,3,False,4.0,G,2,2,2,False,16.7,Child,1
12,1,1,female,58.0,0,0,26.55,S,1,True,58.0,C,1,1,1,False,26.55,Adult,1
13,0,3,male,20.0,0,0,8.05,S,1,True,20.0,Unknown,1,1,1,False,8.05,YoungAdult,0
14,0,3,male,39.0,1,5,31.275,S,7,False,39.0,Unknown,7,7,7,False,31.275,Adult,0
15,0,3,female,14.0,0,0,7.8542,S,1,True,14.0,Unknown,1,1,1,False,7.8542,Teen,1
16,1,2,female,55.0,0,0,16.0,S,1,True,55.0,Unknown,1,1,1,False,16.0,Adult,1
17,0,3,male,2.0,4,1,29.125,Q,6,False,2.0,Unknown,5,5,5,False,29.125,Child,0
18,1,2,male,,0,0,13.0,S,1,True,30.0,Unknown,1,1,1,False,13.0,YoungAdult,0
19,0,3,female,31.0,1,0,18.0,S,2,False,31.0,Unknown,1,1,1,False,18.0,Adult,1
20,1,3,female,,0,0,7.225,C,1,True,21.5,Unknown,1,1,1,False,7.225,YoungAdult,1
21,0,2,male,35.0,0,0,26.0,S,1,True,35.0,Unknown,2,2,2,False,26.0,Adult,0
22,1,2,male,34.0,0,0,13.0,S,1,True,34.0,D,1,1,1,False,13.0,Adult,0
23,1,3,female,15.0,0,0,8.0292,Q,1,True,15.0,Unknown,1,1,1,False,8.0292,Teen,1
24,1,1,male,28.0,0,0,35.5,S,1,True,28.0,A,1,1,1,False,35.5,YoungAdult,0
25,0,3,female,8.0,3,1,21.075,S,5,False,8.0,Unknown,4,4,4,False,21.075,Child,1
26,1,3,female,38.0,1,5,31.3875,S,7,False,38.0,Unknown,4,4,4,False,31.3875,Adult,1
27,0,3,male,,0,0,7.225,C,1,True,25.0,Unknown,1,1,1,False,7.225,YoungAdult,0
28,0,1,male,19.0,3,2,263.0,S,6,False,19.0,C,4,4,4,True,249.00622000000035,YoungAdult,0
29,1,3,female,,0,0,7.8792,Q,1,True,21.5,Unknown,1,1,1,False,7.8792,YoungAdult,1
30,0,3,male,,0,0,7.8958,S,1,True,25.0,Unknown,1,1,1,False,7.8958,YoungAdult,0
31,0,1,male,40.0,0,0,27.7208,C,1,True,40.0,Unknown,1,1,1,False,27.7208,Adult,0
32,1,1,female,,1,0,146.5208,C,2,False,35.0,B,2,2,2,False,146.5208,Adult,1
33,1,3,female,,0,0,7.75,Q,1,True,21.5,Unknown,1,1,1,False,7.75,YoungAdult,1
34,0,2,male,66.0,0,0,10.5,S,1,True,66.0,Unknown,1,1,1,False,10.5,Senior,0
35,0,1,male,28.0,1,0,82.1708,C,2,False,28.0,Unknown,2,2,2,False,82.1708,YoungAdult,0
36,0,1,male,42.0,1,0,52.0,S,2,False,42.0,Unknown,2,2,2,False,52.0,Adult,0
37,1,3,male,,0,0,7.2292,C,1,True,25.0,Unknown,1,1,1,False,7.2292,YoungAdult,0
38,0,3,male,21.0,0,0,8.05,S,1,True,21.0,Unknown,1,1,1,False,8.05,YoungAdult,0
39,0,3,female,18.0,2,0,18.0,S,3,False,18.0,Unknown,2,2,2,False,18.0,YoungAdult,1
